age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
25,Private,223566,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,39,United-States,<=50K
38,Private,89625,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,United-States,<=50K
28,Local-gov,334096,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,39,United-States,>50K
44,Private,158958,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,7688,0,39,United-States,>50K
18,?,103497,Some-college,10,Divorced,?,Own-child,White,Female,0,0,30,United-States,<=50K
34,Private,196963,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,29,United-States,<=50K
29,?,223811,HS-grad,9,Never-married,?,Unmarried,Black,Male,0,0,39,United-States,<=50K
63,Self-emp-not-inc,104235,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,3103,0,31,United-States,>50K
24,Private,369667,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
55,Private,104501,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10,United-States,<=50K
65,Private,182653,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6418,0,39,United-States,>50K
36,Federal-gov,209844,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,39,United-States,<=50K
26,Private,82050,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,<=50K
58,?,295763,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,34,United-States,<=50K
48,Private,276005,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,46,United-States,>50K
43,Private,343333,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,>50K
20,State-gov,437161,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,<=50K
43,Private,128354,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,30,United-States,<=50K
37,Private,60409,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,20,United-States,<=50K
40,Private,85019,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,43,?,>50K
34,Private,107308,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K
34,Private,238588,11th,10,Never-married,Other-service,Own-child,Black,Female,0,0,35,United-States,<=50K
